Время (миллисекунды);элементы
24,849013;1001
25,963003;1001
25,656781;1001
25,940396;1001
26,097539;1001
25,343548;1001
25,61073;1001
25,664246;1001
24,884009;1001
25,423062;1001
25,019812;1001
25,187902;1001
25,12902;1001
25,470964;1001
25,545013;1001
24,567203;1001
25,363721;1001
24,862104;1001
24,714381;1001
25,415556;1001
25,381751;1001
26,03963;1001
26,388726;1001
25,740385;1001
25,443517;1001
25,454243;1001
25,751789;1001
26,003218;1001
25,383624;1001
25,268325;1001
25,515905;1001
25,514181;1001
25,533036;1001
25,657267;1001
25,269933;1001
25,306947;1001
24,839769;1001
24,904474;1001
25,742995;1001
25,297119;1001
25,791424;1001
25,857125;1001
25,679205;1001
25,844181;1001
26,655996;1001
24,899619;1001
25,209524;1001
26,140825;1001
25,083325;1001
25,647165;1001
24,759273;1001
25,494375;1001
25,073355;1001
25,370151;1001
25,64931;1001
25,645882;1001
24,661916;1001
24,201123;1001
24,935925;1001
25,709665;1001
25,530113;1001
25,320023;1001
25,041305;1001
25,775141;1001
25,643008;1001
25,796382;1001
25,069556;1001
25,303091;1001
25,011098;1001
25,00752;1001
26,498904;1001
25,445481;1001
24,911676;1001
24,756015;1001
24,808883;1001
25,918437;1001
25,519407;1001
24,354101;1001
24,11084;1001
25,427788;1001
25,621418;1001
24,226364;1001
27,329273;1001
28,405595;1001
26,038319;1001
25,448984;1001
25,409077;1001
25,210655;1001
25,970011;1001
26,654482;1001
25,955596;1001
24,868939;1001
25,923808;1001
25,357622;1001
25,983024;1001
25,016245;1001
26,142809;1001
25,342262;1001
26,105792;1001
25,448618;1001
25,502424;1001
25,591305;1001
24,333021;1001
25,250844;1001
24,970069;1001
26,146434;1001
26,160727;1001
25,534465;1001
25,241453;1001
25,818351;1001
25,67433;1001
26,157486;1001
25,396677;1001
25,294695;1001
25,750439;1001
26,172548;1001
25,88265;1001
25,52323;1001
26,523906;1001
26,192901;1001
25,3219;1001
24,2622;1001
25,60972;1001
25,907904;1001
26,019641;1001
25,490248;1001
26,43129;1001
25,645158;1001
25,602532;1001
26,275366;1001
25,816473;1001
25,562515;1001
25,400263;1001
25,491833;1001
26,085067;1001
25,283953;1001
25,586751;1001
24,52953;1001
25,092086;1001
26,102137;1001
25,557747;1001
24,828409;1001
25,688362;1001
25,295812;1001
25,566862;1001
25,349372;1001
25,703574;1001
26,269995;1001
25,899279;1001
26,209716;1001
25,988283;1001
25,869977;1001
25,547375;1001
25,238615;1001
25,800603;1001
26,539181;1001
26,201596;1001
25,329359;1001
25,123972;1001
24,846874;1001
25,846615;1001
26,265243;1001
27,105629;1001
26,509786;1001
25,351037;1001
26,890067;1001
27,435273;1001
25,032455;1001
25,576051;1001
26,20371;1001
25,616402;1001
25,89426;1001
24,035032;1001
26,136926;1001
26,561345;1001
26,266989;1001
27,459858;1001
25,885992;1001
24,954958;1001
25,783232;1001
25,072366;1001
24,807833;1001
26,138827;1001
26,690885;1001
26,541617;1001
24,835823;1001
25,228345;1001
27,449009;1001
26,114902;1001
26,51778;1001
26,320136;1001
25,703867;1001
26,231353;1001
25,746031;1001
25,757206;1001
26,252801;1001
26,4051;1001
25,0454;1001
26,46466;1001
26,956732;1001
26,359946;1001
26,875789;1001
26,102278;1001
25,907816;1001
25,457243;1001
26,358609;1001
25,406542;1001
25,284108;1001
25,068622;1001
25,915644;1001
27,817229;1001
27,769106;1001
26,477101;1001
26,28608;1001
25,703056;1001
25,640851;1001
25,31979;1001
25,451758;1001
24,762772;1001
25,750714;1001
25,510463;1001
25,220193;1001
25,722459;1001
25,629692;1001
25,428918;1001
24,761844;1001
24,907109;1001
25,598982;1001
26,104556;1001
26,613351;1001
25,56497;1001
26,144054;1001
25,946331;1001
25,902766;1001
24,515853;1001
25,623131;1001
26,363866;1001
26,229193;1001
26,069159;1001
27,140312;1001
25,612362;1001
25,486852;1001
25,95337;1001
25,802414;1001
26,122503;1001
26,576961;1001
25,437872;1001
26,168774;1001
25,737995;1001
25,407179;1001
25,959256;1001
25,445491;1001
26,163278;1001
26,313736;1001
25,113747;1001
25,502889;1001
25,365838;1001
25,879728;1001
25,592386;1001
25,277117;1001
25,926823;1001
25,517205;1001
25,375661;1001
25,158212;1001
24,902282;1001
25,386376;1001
25,655035;1001
26,117667;1001
25,696093;1001
26,115999;1001
24,93792;1001
25,847604;1001
26,035581;1001
26,061096;1001
26,456939;1001
26,604768;1001
26,193414;1001
25,471063;1001
25,558673;1001
25,340735;1001
24,157507;1001
25,905481;1001
25,245636;1001
25,466607;1001
26,738961;1001
25,971432;1001
25,535066;1001
25,822033;1001
25,923367;1001
26,649013;1001
26,250143;1001
25,905609;1001
26,317922;1001
26,085924;1001
26,293005;1001
26,386741;1001
25,774868;1001
25,866074;1001
25,413275;1001
25,280415;1001
25,979103;1001
26,086941;1001
25,050808;1001
26,244342;1001
26,309508;1001
25,333122;1001
25,998684;1001
26,617997;1001
25,968599;1001
26,03794;1001
25,573648;1001
26,45025;1001
25,08681;1001
25,198142;1001
25,610468;1001
25,661874;1001
25,807395;1001
25,152859;1001
24,497452;1001
24,06979;1001
25,429018;1001
25,188384;1001
24,420337;1001
25,400387;1001
25,289117;1001
25,270003;1001
24,854141;1001
25,078068;1001
25,273254;1001
26,036851;1001
26,39121;1001
25,049602;1001
25,58184;1001
24,737948;1001
25,17373;1001
24,323346;1001
32,160529;1001
27,179686;1001
25,677257;1001
25,561791;1001
25,587318;1001
25,893464;1001
26,083693;1001
26,023679;1001
25,806056;1001
25,274011;1001
26,119762;1001
25,843952;1001
26,69447;1001
25,807314;1001
24,671723;1001
25,153745;1001
25,860569;1001
25,985434;1001
25,977047;1001
25,460689;1001
25,840498;1001
26,1697;1001
26,20576;1001
24,430012;1001
26,150302;1001
26,16976;1001
25,601612;1001
25,378182;1001
